,learner,dataset_id,non-monotone,occurrences,significance
117,sklearn.discriminant_analysis.LinearDiscriminantAnalysis,1233,True,1,0.12494687632809172
118,sklearn.discriminant_analysis.LinearDiscriminantAnalysis,1235,True,1,0.7333333333333333
119,sklearn.discriminant_analysis.LinearDiscriminantAnalysis,1236,False,0,0.0
120,sklearn.discriminant_analysis.LinearDiscriminantAnalysis,1448,True,2,0.7499999999999998
121,sklearn.discriminant_analysis.LinearDiscriminantAnalysis,1450,True,2,1.0
122,sklearn.discriminant_analysis.LinearDiscriminantAnalysis,1457,True,1,0.528991262907069
123,sklearn.discriminant_analysis.LinearDiscriminantAnalysis,1465,False,0,0.0
124,sklearn.discriminant_analysis.LinearDiscriminantAnalysis,1468,True,1,0.10459332943241663
125,sklearn.discriminant_analysis.LinearDiscriminantAnalysis,1475,True,1,0.5027392845633257
126,sklearn.discriminant_analysis.LinearDiscriminantAnalysis,1477,True,1,0.2445397815912636
127,sklearn.discriminant_analysis.LinearDiscriminantAnalysis,1479,True,3,0.5769392033542977
128,sklearn.discriminant_analysis.LinearDiscriminantAnalysis,1483,True,3,0.39512195121951216
129,sklearn.discriminant_analysis.LinearDiscriminantAnalysis,1485,True,4,0.3752743233357719
130,sklearn.discriminant_analysis.LinearDiscriminantAnalysis,1488,True,1,0.4998499849984997
131,sklearn.discriminant_analysis.LinearDiscriminantAnalysis,1489,True,2,0.6928838951310865
132,sklearn.discriminant_analysis.LinearDiscriminantAnalysis,1494,True,1,0.6249752622204631
133,sklearn.discriminant_analysis.LinearDiscriminantAnalysis,1499,False,0,0.0
134,sklearn.discriminant_analysis.LinearDiscriminantAnalysis,1503,True,5,0.40594059405940597
135,sklearn.discriminant_analysis.LinearDiscriminantAnalysis,1509,True,3,0.4220183486238531
136,sklearn.discriminant_analysis.LinearDiscriminantAnalysis,1515,False,0,0.0
137,sklearn.discriminant_analysis.LinearDiscriminantAnalysis,1566,True,2,0.6668529904974847
138,sklearn.discriminant_analysis.LinearDiscriminantAnalysis,1567,True,4,0.5974683544303796
139,sklearn.discriminant_analysis.LinearDiscriminantAnalysis,4134,True,3,0.4768081761006293
140,sklearn.discriminant_analysis.LinearDiscriminantAnalysis,4538,True,2,0.41614608361364724
141,sklearn.discriminant_analysis.LinearDiscriminantAnalysis,23512,True,1,0.24368499257058
142,sklearn.discriminant_analysis.LinearDiscriminantAnalysis,23517,True,5,0.6637931034482786
143,sklearn.discriminant_analysis.LinearDiscriminantAnalysis,40498,True,2,0.14083710407239836
144,sklearn.discriminant_analysis.LinearDiscriminantAnalysis,40685,True,4,0.6187499999999994
145,sklearn.discriminant_analysis.LinearDiscriminantAnalysis,40971,True,1,0.27280163599182006
146,sklearn.discriminant_analysis.LinearDiscriminantAnalysis,40975,False,0,0.0
147,sklearn.discriminant_analysis.LinearDiscriminantAnalysis,40981,False,0,0.0
148,sklearn.discriminant_analysis.LinearDiscriminantAnalysis,40982,True,1,0.0691007845503922
149,sklearn.discriminant_analysis.LinearDiscriminantAnalysis,40984,True,2,0.2860326894502226
150,sklearn.discriminant_analysis.LinearDiscriminantAnalysis,40996,True,1,0.6379170056956875
151,sklearn.discriminant_analysis.LinearDiscriminantAnalysis,41027,True,1,0.08883455582722101
152,sklearn.discriminant_analysis.LinearDiscriminantAnalysis,41142,True,1,0.6996515679442507
153,sklearn.discriminant_analysis.LinearDiscriminantAnalysis,41144,True,3,0.4400452488687783
154,sklearn.discriminant_analysis.LinearDiscriminantAnalysis,41145,True,2,0.34413453650533254
155,sklearn.discriminant_analysis.LinearDiscriminantAnalysis,41146,True,1,0.12114845938375335
156,sklearn.discriminant_analysis.LinearDiscriminantAnalysis,41150,True,1,0.3181299885974912
157,sklearn.discriminant_analysis.LinearDiscriminantAnalysis,41156,True,1,0.39809160305343533
158,sklearn.discriminant_analysis.LinearDiscriminantAnalysis,41157,True,1,0.5002249212775527
159,sklearn.discriminant_analysis.LinearDiscriminantAnalysis,41158,True,1,0.7936182669789227
160,sklearn.discriminant_analysis.LinearDiscriminantAnalysis,41159,True,3,0.363207547169811
161,sklearn.discriminant_analysis.LinearDiscriminantAnalysis,41161,True,3,0.24821917808219182
162,sklearn.discriminant_analysis.LinearDiscriminantAnalysis,41163,True,2,0.3426156141223271
163,sklearn.discriminant_analysis.LinearDiscriminantAnalysis,41164,True,1,0.08925619834710745
164,sklearn.discriminant_analysis.LinearDiscriminantAnalysis,41165,True,3,0.32044975404075904
165,sklearn.discriminant_analysis.LinearDiscriminantAnalysis,41166,True,1,0.624538745387454
166,sklearn.discriminant_analysis.LinearDiscriminantAnalysis,41168,True,1,0.3352459016393442
167,sklearn.discriminant_analysis.LinearDiscriminantAnalysis,41228,True,2,0.27840909090909094
168,sklearn.discriminant_analysis.LinearDiscriminantAnalysis,41972,True,2,0.2704890387858349
169,sklearn.discriminant_analysis.LinearDiscriminantAnalysis,42769,True,2,0.05514705882352946
170,sklearn.discriminant_analysis.LinearDiscriminantAnalysis,42809,True,3,0.6252110298255487
171,sklearn.discriminant_analysis.LinearDiscriminantAnalysis,42810,True,3,1.0
172,sklearn.discriminant_analysis.QuadraticDiscriminantAnalysis,6,False,0,0.0
173,sklearn.discriminant_analysis.QuadraticDiscriminantAnalysis,11,False,0,0.0
174,sklearn.discriminant_analysis.QuadraticDiscriminantAnalysis,12,True,2,0.3784046692607003
175,sklearn.discriminant_analysis.QuadraticDiscriminantAnalysis,14,True,2,0.26927869306382385
176,sklearn.discriminant_analysis.QuadraticDiscriminantAnalysis,16,True,2,0.14004560182407297
177,sklearn.discriminant_analysis.QuadraticDiscriminantAnalysis,18,True,1,1.0
178,sklearn.discriminant_analysis.QuadraticDiscriminantAnalysis,21,True,2,1.0
179,sklearn.discriminant_analysis.QuadraticDiscriminantAnalysis,22,True,1,0.30894189960485874
180,sklearn.discriminant_analysis.QuadraticDiscriminantAnalysis,23,True,3,0.571496437054632
181,sklearn.discriminant_analysis.QuadraticDiscriminantAnalysis,26,True,2,0.12199124726477037
182,sklearn.discriminant_analysis.QuadraticDiscriminantAnalysis,28,True,2,0.11523178807947015
183,sklearn.discriminant_analysis.QuadraticDiscriminantAnalysis,30,True,1,0.9978750531236719
184,sklearn.discriminant_analysis.QuadraticDiscriminantAnalysis,32,True,1,1.0
185,sklearn.discriminant_analysis.QuadraticDiscriminantAnalysis,36,True,3,0.443127962085308
186,sklearn.discriminant_analysis.QuadraticDiscriminantAnalysis,44,True,3,0.07974594213126306
187,sklearn.discriminant_analysis.QuadraticDiscriminantAnalysis,54,True,1,0.22215884785398549
188,sklearn.discriminant_analysis.QuadraticDiscriminantAnalysis,55,False,0,0.0
189,sklearn.discriminant_analysis.QuadraticDiscriminantAnalysis,60,True,2,0.0807102502017757
190,sklearn.discriminant_analysis.QuadraticDiscriminantAnalysis,61,False,0,0.0
191,sklearn.discriminant_analysis.QuadraticDiscriminantAnalysis,181,True,3,0.9129041654529565
192,sklearn.discriminant_analysis.QuadraticDiscriminantAnalysis,182,True,2,0.3482258064516131
193,sklearn.discriminant_analysis.QuadraticDiscriminantAnalysis,185,True,1,1.0
194,sklearn.discriminant_analysis.QuadraticDiscriminantAnalysis,201,True,1,1.0
195,sklearn.discriminant_analysis.QuadraticDiscriminantAnalysis,273,True,4,0.9599287622439893
196,sklearn.discriminant_analysis.QuadraticDiscriminantAnalysis,293,True,6,0.5664206642066425
197,sklearn.discriminant_analysis.QuadraticDiscriminantAnalysis,299,True,1,0.33333333333333326
198,sklearn.discriminant_analysis.QuadraticDiscriminantAnalysis,300,True,1,0.4988290398126463
199,sklearn.discriminant_analysis.QuadraticDiscriminantAnalysis,346,False,0,0.0
200,sklearn.discriminant_analysis.QuadraticDiscriminantAnalysis,351,False,0,0.0
201,sklearn.discriminant_analysis.QuadraticDiscriminantAnalysis,354,True,3,0.21581196581196574
202,sklearn.discriminant_analysis.QuadraticDiscriminantAnalysis,357,True,2,0.17503136762860716
203,sklearn.discriminant_analysis.QuadraticDiscriminantAnalysis,380,True,1,0.33340000000000003
204,sklearn.discriminant_analysis.QuadraticDiscriminantAnalysis,389,True,1,0.15771028037383175
205,sklearn.discriminant_analysis.QuadraticDiscriminantAnalysis,390,True,2,1.0
206,sklearn.discriminant_analysis.QuadraticDiscriminantAnalysis,391,True,2,0.43755310110450285
207,sklearn.discriminant_analysis.QuadraticDiscriminantAnalysis,392,True,2,0.5551061678463094
208,sklearn.discriminant_analysis.QuadraticDiscriminantAnalysis,393,True,4,0.7191448007774539
209,sklearn.discriminant_analysis.QuadraticDiscriminantAnalysis,395,True,1,0.5009380863039399
210,sklearn.discriminant_analysis.QuadraticDiscriminantAnalysis,396,True,3,1.0
211,sklearn.discriminant_analysis.QuadraticDiscriminantAnalysis,398,True,1,0.6261022927689593
212,sklearn.discriminant_analysis.QuadraticDiscriminantAnalysis,399,True,3,1.0
213,sklearn.discriminant_analysis.QuadraticDiscriminantAnalysis,401,True,2,0.8464912280701755
214,sklearn.discriminant_analysis.QuadraticDiscriminantAnalysis,446,True,1,0.6666000000000001
215,sklearn.discriminant_analysis.QuadraticDiscriminantAnalysis,554,True,1,0.2356020942408377
216,sklearn.discriminant_analysis.QuadraticDiscriminantAnalysis,679,True,2,0.43469470279013334
217,sklearn.discriminant_analysis.QuadraticDiscriminantAnalysis,715,True,1,0.39123630672926446
218,sklearn.discriminant_analysis.QuadraticDiscriminantAnalysis,718,True,2,0.8943628612032213
219,sklearn.discriminant_analysis.QuadraticDiscriminantAnalysis,720,True,2,0.7046186895810959
220,sklearn.discriminant_analysis.QuadraticDiscriminantAnalysis,722,True,3,0.31815830315571664
221,sklearn.discriminant_analysis.QuadraticDiscriminantAnalysis,723,True,1,0.6816693944353519
222,sklearn.discriminant_analysis.QuadraticDiscriminantAnalysis,727,False,0,0.0
223,sklearn.discriminant_analysis.QuadraticDiscriminantAnalysis,728,True,1,0.7548251748251749
224,sklearn.discriminant_analysis.QuadraticDiscriminantAnalysis,734,True,3,0.6714785651793527
225,sklearn.discriminant_analysis.QuadraticDiscriminantAnalysis,735,True,3,0.16426512968299695
226,sklearn.discriminant_analysis.QuadraticDiscriminantAnalysis,737,True,1,0.068876729964596
227,sklearn.discriminant_analysis.QuadraticDiscriminantAnalysis,740,True,2,0.5
228,sklearn.discriminant_analysis.QuadraticDiscriminantAnalysis,741,True,2,1.0
229,sklearn.discriminant_analysis.QuadraticDiscriminantAnalysis,743,True,3,0.5293806246691372
230,sklearn.discriminant_analysis.QuadraticDiscriminantAnalysis,751,True,1,0.24010079193664496
231,sklearn.discriminant_analysis.QuadraticDiscriminantAnalysis,752,True,2,0.2732606873428333
232,sklearn.discriminant_analysis.QuadraticDiscriminantAnalysis,761,False,0,0.0
233,sklearn.discriminant_analysis.QuadraticDiscriminantAnalysis,772,True,4,0.3999999999999994
234,sklearn.discriminant_analysis.QuadraticDiscriminantAnalysis,797,True,2,0.6666666666666666
